Filter_type,Biological_rep,qPCR_rep,Detection,Cq,Copies,Copies_plus,Log_copiesplus,Log_copiesplus_1,Ave_Cq,Ave_copies,Log_ave_copies,Det_rate,Turbidity,Prefilter,Filtr_vol,Tank_water,Type
PC5,C,5,1,36.06,44.62,44.72,1.65,2.65,36.05,44.98,1.65,1,50,Yes,200,500,50 NTU - PF
PC5,C,6,1,36.15,42,42.10,1.62,2.62,36.05,44.98,1.65,1,50,Yes,200,500,50 NTU - PF
ST,A,1,1,36.61,30.82,30.92,1.49,2.49,36.15,42,1.62,1,5,No,500,500,5 NTU
ST,A,2,1,35.86,51.05,51.15,1.71,2.71,36.15,42,1.62,1,5,No,500,500,5 NTU
ST,A,3,1,36.82,26.76,26.86,1.43,2.43,36.15,42,1.62,1,5,No,500,500,5 NTU
ST,A,4,1,35.74,55.35,55.45,1.74,2.74,36.15,42,1.62,1,5,No,500,500,5 NTU
ST,A,5,1,35.77,54.24,54.34,1.74,2.74,36.15,42,1.62,1,5,No,500,500,5 NTU
ST,A,6,1,36.1,43.44,43.54,1.64,2.64,36.15,42,1.62,1,5,No,500,500,5 NTU
ST,B,1,1,34.84,101.42,101.52,2.01,3.01,34.37,138.84,2.14,1,5,No,500,500,5 NTU
ST,B,2,1,34.53,124.95,125.05,2.10,3.10,34.37,138.84,2.14,1,5,No,500,500,5 NTU
ST,B,3,1,34.75,107.76,107.86,2.03,3.03,34.37,138.84,2.14,1,5,No,500,500,5 NTU
ST,B,4,1,35.27,75.94,76.04,1.88,2.88,34.37,138.84,2.14,1,5,No,500,500,5 NTU
ST,B,5,1,34.31,144.89,144.99,2.16,3.16,34.37,138.84,2.14,1,5,No,500,500,5 NTU
ST,B,6,1,32.54,476.82,476.92,2.68,3.68,34.37,138.84,2.14,1,5,No,500,500,5 NTU
ST,C,1,1,35.12,84,84.10,1.92,2.92,34.82,102.68,2.01,1,5,No,500,500,5 NTU
ST,C,2,1,34.84,101.42,101.52,2.01,3.01,34.82,102.68,2.01,1,5,No,500,500,5 NTU
ST,C,3,1,34.64,116.04,116.14,2.06,3.06,34.82,102.68,2.01,1,5,No,500,500,5 NTU
ST,C,4,1,34.53,124.95,125.05,2.10,3.10,34.82,102.68,2.01,1,5,No,500,500,5 NTU
ST,C,5,1,34.59,120.01,120.11,2.08,3.08,34.82,102.68,2.01,1,5,No,500,500,5 NTU
ST,C,6,1,35.21,79.07,79.17,1.90,2.90,34.82,102.68,2.01,1,5,No,500,500,5 NTU
ST,A,1,0,NA,0,0.10,-1.00,0.00,37.89,13.05,1.12,0.5,50,No,100,500,50 NTU
ST,A,2,0,NA,0,0.10,-1.00,0.00,37.89,13.05,1.12,0.5,50,No,100,500,50 NTU
ST,A,3,1,38.74,7.35,7.45,0.87,1.87,37.89,13.05,1.12,0.5,50,No,100,500,50 NTU
ST,A,4,1,37.5,16.93,17.03,1.23,2.23,37.89,13.05,1.12,0.5,50,No,100,500,50 NTU
ST,A,5,1,37.42,17.87,17.97,1.25,2.25,37.89,13.05,1.12,0.5,50,No,100,500,50 NTU
ST,A,6,0,NA,0,0.10,-1.00,0.00,37.89,13.05,1.12,0.5,50,No,100,500,50 NTU
ST,B,1,1,37.3,19.37,19.47,1.29,2.29,38.06,11.6,1.06,0.8333,50,No,100,500,50 NTU
ST,B,2,1,37.69,14.9,15.00,1.18,2.18,38.06,11.6,1.06,0.8333,50,No,100,500,50 NTU
ST,B,3,1,36.6,31.03,31.13,1.49,2.49,38.06,11.6,1.06,0.8333,50,No,100,500,50 NTU
ST,B,4,1,39.67,3.93,4.03,0.61,1.61,38.06,11.6,1.06,0.8333,50,No,100,500,50 NTU
ST,B,5,1,39.05,5.97,6.07,0.78,1.78,38.06,11.6,1.06,0.8333,50,No,100,500,50 NTU
ST,B,6,0,NA,0,0.10,-1.00,0.00,38.06,11.6,1.06,0.8333,50,No,100,500,50 NTU
ST,C,1,1,38.82,6.96,7.06,0.85,1.85,38.57,8.22,0.91,0.5,50,No,100,500,50 NTU
ST,C,2,0,NA,0,0.10,-1.00,0.00,38.57,8.22,0.91,0.5,50,No,100,500,50 NTU
ST,C,3,1,39.73,3.78,3.88,0.59,1.59,38.57,8.22,0.91,0.5,50,No,100,500,50 NTU
ST,C,4,0,NA,0,0.10,-1.00,0.00,38.57,8.22,0.91,0.5,50,No,100,500,50 NTU
ST,C,5,1,37.17,21.14,21.24,1.33,2.33,38.57,8.22,0.91,0.5,50,No,100,500,50 NTU
ST,C,6,0,NA,0,0.10,-1.00,0.00,38.57,8.22,0.91,0.5,50,No,100,500,50 NTU
ST,A,1,1,36.95,24.52,24.62,1.39,2.39,36.79,27.36,1.44,1,50,Yes,150,500,50 NTU - PF
ST,A,2,1,36.19,40.89,40.99,1.61,2.61,36.79,27.36,1.44,1,50,Yes,150,500,50 NTU - PF
ST,A,3,1,36.17,41.44,41.54,1.62,2.62,36.79,27.36,1.44,1,50,Yes,150,500,50 NTU - PF
ST,A,4,1,37.25,20.03,20.13,1.30,2.30,36.79,27.36,1.44,1,50,Yes,150,500,50 NTU - PF
ST,A,5,1,36.62,30.61,30.71,1.49,2.49,36.79,27.36,1.44,1,50,Yes,150,500,50 NTU - PF
ST,A,6,1,37.54,16.48,16.58,1.22,2.22,36.79,27.36,1.44,1,50,Yes,150,500,50 NTU - PF
ST,B,1,1,36.75,28.05,28.15,1.45,2.45,37.79,13.96,1.14,1,50,Yes,150,500,50 NTU - PF
ST,B,2,1,37.19,20.86,20.96,1.32,2.32,37.79,13.96,1.14,1,50,Yes,150,500,50 NTU - PF
ST,B,3,1,38.15,10.93,11.03,1.04,2.04,37.79,13.96,1.14,1,50,Yes,150,500,50 NTU - PF
ST,B,4,1,38.5,8.64,8.74,0.94,1.94,37.79,13.96,1.14,1,50,Yes,150,500,50 NTU - PF
ST,B,5,1,38.68,7.65,7.75,0.89,1.89,37.79,13.96,1.14,1,50,Yes,150,500,50 NTU - PF
ST,B,6,1,37.45,17.51,17.61,1.25,2.25,37.79,13.96,1.14,1,50,Yes,150,500,50 NTU - PF
ST,C,1,1,36.4,35.5,35.60,1.55,2.55,37.12,21.92,1.34,0.8333,50,Yes,150,500,50 NTU - PF
ST,C,2,1,38.22,10.43,10.53,1.02,2.02,37.12,21.92,1.34,0.8333,50,Yes,150,500,50 NTU - PF
ST,C,3,1,36.36,36.47,36.57,1.56,2.56,37.12,21.92,1.34,0.8333,50,Yes,150,500,50 NTU - PF
ST,C,4,1,38.1,11.31,11.41,1.06,2.06,37.12,21.92,1.34,0.8333,50,Yes,150,500,50 NTU - PF
ST,C,5,0,NA,0,0.10,-1.00,0.00,37.12,21.92,1.34,0.8333,50,Yes,150,500,50 NTU - PF
ST,C,6,1,36.5,33.19,33.29,1.52,2.52,37.12,21.92,1.34,0.8333,50,Yes,150,500,50 NTU - PF
GF,A,1,1,32.59,461.05,461.15,2.66,3.66,33.17,312.05,2.49,1,5,No,1000,1000,5 NTU
GF,A,2,1,33.78,206.99,207.09,2.32,3.32,33.17,312.05,2.49,1,5,No,1000,1000,5 NTU
GF,A,3,1,33,349.88,349.98,2.54,3.54,33.17,312.05,2.49,1,5,No,1000,1000,5 NTU
GF,A,4,1,33.29,287.84,287.94,2.46,3.46,33.17,312.05,2.49,1,5,No,1000,1000,5 NTU
